time,ax,ay,az,gx,gy,gz,mx,my,mz
2453,3.93,-1.03,-14.74,-1.20,-1.77,-5.42,4.44,37.80,1.89
2464,3.93,-1.03,-14.74,-1.20,-1.77,-5.42,4.44,37.80,1.89
2475,1.98,-1.01,-15.04,-1.17,-2.78,-4.77,5.50,39.22,4.63
2486,1.98,-1.01,-15.04,-1.17,-2.78,-4.77,5.50,39.22,4.63
2497,4.97,-0.36,-12.50,0.17,-2.88,-3.19,5.50,39.22,4.63
2508,4.97,-0.36,-12.50,0.17,-2.88,-3.19,5.50,39.22,4.63
2519,6.47,-4.50,-15.46,-0.10,-3.01,-2.55,5.50,39.22,4.63
2530,6.72,-9.93,-16.69,-0.62,-5.98,-2.01,5.50,39.22,4.63
2541,6.72,-9.93,-16.69,-0.62,-5.98,-2.01,5.50,39.22,4.63
2552,6.35,-5.36,-11.85,0.35,-9.41,0.39,5.50,39.22,4.63
2563,6.35,-5.36,-11.85,0.35,-9.41,0.39,5.50,39.22,4.63
2574,6.71,-1.33,-9.27,1.91,-11.47,2.29,5.50,39.22,4.63
2585,6.71,-1.33,-9.27,1.91,-11.47,2.29,5.50,39.22,4.63
2596,8.65,1.83,-5.08,4.06,-13.14,3.69,5.50,39.22,4.63
2607,8.65,1.83,-5.08,4.06,-13.14,3.69,5.50,39.22,4.63
2618,10.10,5.82,1.33,6.11,-14.28,5.18,47.38,38.87,-8.41
2629,8.05,10.17,8.58,6.89,-13.82,6.07,47.38,38.87,-8.41
2640,8.05,10.17,8.58,6.89,-13.82,6.07,47.38,38.87,-8.41
2651,4.87,9.75,11.42,4.82,-11.82,5.32,47.38,38.87,-8.41
2662,4.87,9.75,11.42,4.82,-11.82,5.32,47.38,38.87,-8.41
2673,3.49,3.45,5.11,1.28,-10.28,3.63,47.38,38.87,-8.41
2684,3.49,3.45,5.11,1.28,-10.28,3.63,47.38,38.87,-8.41
2695,3.35,7.08,8.18,-8.30,-10.59,2.06,47.38,38.87,-8.41
2706,3.35,7.08,8.18,-8.30,-10.59,2.06,47.38,38.87,-8.41
2717,3.20,-1.96,12.82,-9.49,-8.48,-1.00,47.38,38.87,-8.41
2728,3.20,-1.96,12.82,-9.49,-8.48,-1.00,47.38,38.87,-8.41
2739,-0.03,-0.32,12.48,-4.19,-4.80,-1.43,50.05,38.33,-65.21
2750,-0.09,-3.20,15.63,-0.90,-2.10,-1.11,50.05,38.33,-65.21
2765,-0.09,-3.20,15.63,-0.90,-2.10,-1.11,50.05,38.33,-65.21
2772,-0.70,-0.62,14.19,0.93,1.98,-0.07,50.05,38.33,-65.21
