time,ax,ay,az,gx,gy,gz,mx,my,mz
4681.00,-0.75,6.21,-8.27,-0.04,0.23,-0.04,-54.00,1.00,36.00
4694.00,-0.70,6.36,-7.99,-0.07,0.17,-0.03,-54.00,1.00,36.00
4706.00,-0.70,6.36,-7.99,-0.07,0.17,-0.03,-54.00,1.00,36.00
4718.00,-3.05,5.60,-8.07,-0.11,0.15,-0.07,-52.00,1.00,36.00
4730.00,-0.74,6.01,-7.55,-0.08,0.15,0.09,-52.00,1.00,36.00
4743.00,-0.74,6.01,-7.55,-0.08,0.15,0.09,-52.00,1.00,36.00
4755.00,0.31,7.58,-7.17,-0.15,0.10,0.07,-52.00,1.00,36.00
4766.00,0.31,7.58,-7.17,-0.15,0.10,0.07,-52.00,1.00,36.00
4777.00,-0.74,6.58,-7.49,-0.09,0.25,-0.14,-52.00,1.00,36.00
4789.00,-0.74,6.58,-7.49,-0.09,0.25,-0.14,-52.00,1.00,36.00
4803.00,-0.17,5.87,-8.11,0.01,0.42,-0.21,-52.00,1.00,36.00
4814.00,0.59,5.60,-8.50,-0.02,0.44,-0.25,-52.00,1.00,36.00
4826.00,0.59,5.60,-8.50,-0.02,0.44,-0.25,-52.00,1.00,36.00
4838.00,-0.46,6.17,-8.02,-0.13,0.21,-0.16,-52.00,4.00,36.00
4851.00,-0.63,6.35,-7.92,-0.10,0.15,-0.06,-52.00,4.00,36.00
4862.00,-0.63,6.35,-7.92,-0.10,0.15,-0.06,-52.00,4.00,36.00
4874.00,-0.62,6.28,-7.95,-0.03,0.19,-0.01,-52.00,4.00,36.00
4886.00,-0.62,6.28,-7.95,-0.03,0.19,-0.01,-52.00,4.00,36.00
5084.00,-0.63,6.29,-7.95,-0.05,0.18,-0.02,-54.00,4.00,38.00
5096.00,-0.62,6.32,-7.92,-0.05,0.18,-0.02,-54.00,4.00,38.00
5108.00,-0.62,6.32,-7.92,-0.05,0.18,-0.02,-54.00,4.00,38.00
5118.00,-0.63,6.29,-7.90,-0.05,0.18,-0.02,-54.00,4.00,38.00
5132.00,-0.65,6.29,-7.93,-0.05,0.18,-0.02,-54.00,4.00,38.00
5144.00,-0.65,6.29,-7.93,-0.05,0.18,-0.02,-54.00,4.00,38.00
5155.00,-0.66,6.28,-7.93,-0.05,0.18,-0.02,-54.00,4.00,38.00
5166.00,-0.66,6.28,-7.93,-0.05,0.18,-0.02,-54.00,4.00,38.00
5180.00,-0.63,6.28,-7.91,-0.05,0.18,-0.02,-54.00,4.00,38.00
5191.00,-0.60,6.32,-7.96,-0.03,0.19,-0.01,-54.00,4.00,38.00
5202.00,-0.60,6.32,-7.96,-0.03,0.19,-0.01,-54.00,4.00,38.00
5214.00,0.77,6.01,-8.23,-0.01,0.20,-0.01,-54.00,4.00,34.00
5226.00,0.77,6.01,-8.23,-0.01,0.20,-0.01,-54.00,4.00,34.00
5239.00,-0.29,6.24,-8.04,0.02,0.23,0.02,-54.00,4.00,34.00
5251.00,-0.75,6.39,-7.92,-0.10,0.12,-0.05,-54.00,4.00,34.00
5262.00,-0.75,6.39,-7.92,-0.10,0.12,-0.05,-54.00,4.00,34.00
5274.00,-0.04,5.34,-6.84,0.06,0.20,-0.03,-54.00,4.00,34.00
5286.00,-0.04,5.34,-6.84,0.06,0.20,-0.03,-54.00,4.00,34.00
5298.00,0.67,7.04,-8.12,-0.07,0.21,-0.03,-54.00,4.00,34.00
5310.00,0.67,7.04,-8.12,-0.07,0.21,-0.03,-54.00,4.00,34.00
5322.00,0.32,7.19,-8.00,0.03,0.16,-0.00,-54.00,4.00,34.00
5326.00,0.32,7.19,-8.00,0.03,0.16,-0.00,-54.00,4.00,34.00
